"","idnum","question","replaced","Age","female","RBlack","RWhite","RHispanic","RNative","RAsian","RPacific","ROther","Educ","Inc","Home1","Home2","Spiritual","UrbRur","Region","Condition","event","overall_deflection","actor_deflection","behavior_deflection","object_deflection","abo","a_bo","ab_o"
"38",275,"replaced1","B",29,1,0,1,0,0,0,0,0,5,5,1,2,1,5,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"39",3,"replaced2","O",30,0,1,0,0,0,0,0,0,5,6,1,2,4,1,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"40",11,"replaced2","O",27,0,0,1,0,0,0,0,0,3,8,1,1,4,5,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"41",22,"replaced2","O",22,0,0,1,0,0,0,0,0,3,6,2,2,2,1,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"42",29,"replaced2","A",34,0,0,1,0,0,0,0,0,3,3,1,2,1,3,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"43",39,"replaced2","B",23,0,0,0,1,0,0,0,0,5,5,2,2,4,5,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"44",40,"replaced2","O",29,1,0,1,0,0,1,0,0,4,6,1,2,2,1,2,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"45",50,"replaced2","O",27,1,0,1,0,0,0,0,0,6,5,1,2,4,3,9,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"46",59,"replaced2","B",46,1,0,1,0,0,0,0,0,6,1,1,2,4,4,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"47",86,"replaced2","O",25,0,0,1,0,0,0,0,0,5,5,1,2,1,2,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"48",88,"replaced2","A",19,0,0,1,0,0,0,0,0,3,6,2,2,4,5,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"49",96,"replaced2","O",33,0,0,1,0,0,0,0,0,4,4,1,2,3,1,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"50",99,"replaced2","B",24,1,0,1,0,0,0,0,0,3,3,1,2,3,4,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"51",117,"replaced2","B",32,0,0,1,0,0,0,0,0,5,7,1,1,2,3,2,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
